year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.255,292.68,13.75,73.72,43.74,0.0,0.06,0.3,2.27,4.95,7.69,10.44,14.85,14.55,12.88,15.5,6.26,2.86,2.44,1.67,1.49,0.95,0.42,0.36,0.06,0.0,22,Cherkasy
1981,36.0,0.255,292.31,19.82,63.72,41.77,0.06,0.48,1.85,4.47,6.62,9.9,11.15,14.61,11.93,10.49,11.15,5.72,3.4,2.92,1.85,1.13,0.83,0.83,0.6,0.0,0.0,22,Cherkasy
1981,37.0,0.258,291.88,30.21,51.66,40.93,0.42,0.83,2.21,5.31,7.81,10.14,10.97,13.48,11.93,9.48,8.35,6.5,4.23,3.1,2.21,1.31,1.01,0.72,0.0,0.0,0.0,22,Cherkasy
1981,38.0,0.259,291.08,39.91,42.64,41.28,0.18,0.95,2.5,5.43,6.68,9.72,11.33,12.52,12.88,10.55,8.29,5.61,3.82,4.0,2.62,1.67,0.72,0.54,0.0,0.0,0.0,22,Cherkasy
1981,39.0,0.256,289.75,47.88,37.6,42.74,0.06,0.48,1.85,3.7,7.04,7.87,10.44,13.18,13.12,12.7,9.42,6.08,4.83,4.11,2.27,1.91,0.6,0.3,0.06,0.0,0.0,22,Cherkasy
1981,40.0,0.249,287.77,54.64,37.0,45.82,0.0,0.12,0.89,2.09,4.41,6.32,9.96,11.69,13.6,14.01,10.85,9.54,5.66,5.37,2.86,1.31,0.83,0.36,0.12,0.0,0.0,22,Cherkasy
1981,41.0,0.23600000000000002,284.88,60.87,43.25,52.06,0.0,0.0,0.18,0.48,1.31,2.92,5.84,8.77,10.97,14.55,14.19,12.82,10.44,6.68,5.72,3.1,1.19,0.54,0.24,0.06,0.0,22,Cherkasy
1981,42.0,0.21899999999999997,281.24,65.71,56.15,60.93,0.0,0.0,0.0,0.0,0.3,0.72,1.25,3.28,6.26,9.3,12.52,13.66,14.55,13.89,9.3,6.38,4.65,2.33,1.25,0.3,0.06,22,Cherkasy
1981,43.0,0.19399999999999998,277.53,65.17,64.36,64.76,0.0,0.0,0.0,0.0,0.0,0.3,0.48,2.33,2.92,6.08,10.55,13.06,15.21,14.67,13.42,9.18,5.37,3.58,2.09,0.54,0.24,22,Cherkasy
1981,44.0,0.161,273.3,58.33,66.2,62.27,0.0,0.0,0.0,0.0,0.0,0.36,1.55,2.33,6.38,8.11,11.57,12.88,13.89,12.94,12.16,8.05,5.07,3.22,1.25,0.12,0.12,22,Cherkasy
1981,45.0,0.12300000000000001,269.05,45.64,65.89,55.77,0.0,0.0,0.0,0.0,0.42,1.79,5.01,7.75,9.78,10.73,11.75,10.61,12.88,12.82,9.48,5.37,0.89,0.66,0.06,0.0,0.0,22,Cherkasy
1981,46.0,0.099,265.99,40.66,63.96,52.31,0.0,0.0,0.0,0.18,1.25,3.76,9.12,9.42,9.42,9.12,10.79,11.09,14.25,12.82,5.96,2.03,0.66,0.12,0.0,0.0,0.0,22,Cherkasy
1981,47.0,0.086,264.01,41.53,61.45,51.49,0.0,0.0,0.0,0.18,1.79,4.11,7.99,9.06,11.99,9.9,10.85,12.46,13.48,10.67,4.77,2.09,0.48,0.18,0.0,0.0,0.0,22,Cherkasy
1981,48.0,0.076,263.07,43.06,58.22,50.64,0.0,0.0,0.0,0.36,1.61,3.82,7.63,10.08,11.45,12.58,13.6,11.63,12.34,9.12,3.88,1.19,0.6,0.12,0.0,0.0,0.0,22,Cherkasy
1981,49.0,0.068,262.06,41.78,56.29,49.04,0.0,0.0,0.0,0.3,2.21,3.82,8.47,11.39,12.28,14.67,12.88,12.58,10.55,6.8,2.56,0.89,0.48,0.0,0.06,0.06,0.0,22,Cherkasy
1981,50.0,0.064,261.04,45.38,53.52,49.45,0.0,0.0,0.0,0.24,1.67,3.46,7.69,11.27,12.76,14.55,15.09,11.69,10.44,6.5,2.92,1.13,0.36,0.18,0.0,0.0,0.06,22,Cherkasy
1981,51.0,0.059000000000000004,259.85,45.92,50.4,48.16,0.0,0.0,0.0,0.18,1.73,4.41,7.22,13.24,14.13,15.44,15.44,10.02,9.36,5.25,2.27,1.07,0.18,0.06,0.0,0.0,0.0,22,Cherkasy
1981,52.0,0.054000000000000006,259.28,44.0,47.22,45.61,0.0,0.0,0.0,0.24,1.97,4.71,10.49,15.15,16.94,16.52,15.09,8.59,5.66,2.74,1.55,0.3,0.06,0.0,0.0,0.0,0.0,22,Cherkasy
1982,1.0,0.053,260.31,45.01,39.46,42.23,0.0,0.0,0.12,0.48,2.44,7.04,14.13,19.32,19.32,15.68,10.61,5.55,3.16,1.91,0.24,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,2.0,0.054000000000000006,262.29,46.83,31.75,39.29,0.0,0.0,0.12,0.89,3.16,10.38,19.68,21.88,19.08,12.1,6.2,4.59,1.55,0.24,0.12,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,3.0,0.055,263.82,48.13,27.24,37.68,0.0,0.0,0.18,0.78,3.94,12.34,23.49,22.66,18.37,9.36,5.72,2.39,0.66,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,4.0,0.053,265.33,46.09,23.91,35.0,0.0,0.0,0.12,1.01,4.53,19.62,30.71,22.3,12.16,4.95,2.98,1.43,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,5.0,0.05,265.66,41.46,26.65,34.06,0.0,0.0,0.0,0.42,4.83,22.66,35.42,20.39,9.18,3.7,2.15,1.01,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,6.0,0.048,266.55,36.56,29.46,33.01,0.0,0.0,0.0,0.48,4.05,26.95,37.63,20.04,7.04,2.8,0.89,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,7.0,0.048,267.84,32.17,31.14,31.65,0.0,0.0,0.0,0.48,6.5,32.5,37.87,16.46,5.13,0.83,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,8.0,0.05,269.3,30.3,32.5,31.4,0.0,0.0,0.0,0.3,8.53,31.13,38.7,17.23,3.22,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,9.0,0.052000000000000005,270.75,28.23,35.22,31.73,0.0,0.0,0.0,0.24,7.99,29.76,36.97,18.96,5.31,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,10.0,0.055999999999999994,272.73,25.25,37.63,31.44,0.0,0.0,0.0,0.3,10.08,31.37,34.41,16.94,6.08,0.78,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,11.0,0.069,275.46,26.81,34.79,30.8,0.0,0.0,0.06,1.37,11.75,32.44,33.45,15.68,4.29,0.78,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,12.0,0.085,278.05,27.87,35.91,31.89,0.0,0.0,0.06,1.43,8.88,28.26,33.63,20.27,5.49,1.25,0.6,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,13.0,0.096,279.89,26.45,40.3,33.37,0.0,0.0,0.12,0.83,7.04,22.36,32.38,22.66,11.03,2.27,0.95,0.3,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
1982,14.0,0.109,281.55,22.93,45.47,34.2,0.0,0.0,0.36,1.01,7.99,19.38,27.79,24.09,11.93,5.37,1.61,0.36,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,Cherkasy
