year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.205,294.75,16.37,78.53,47.45,0.0,0.0,0.05,0.14,0.91,2.53,7.16,13.28,16.95,17.62,19.77,10.65,6.3,2.53,1.29,0.43,0.19,0.1,0.1,0.0,0.0,10,Kirovograd
1981,36.0,0.20800000000000002,294.46,23.27,67.57,45.42,0.0,0.0,0.14,0.67,2.39,4.97,10.12,16.33,15.9,15.76,13.85,8.74,6.06,2.58,1.34,0.67,0.14,0.14,0.19,0.0,0.0,10,Kirovograd
1981,37.0,0.21100000000000002,293.86,31.95,55.76,43.85,0.0,0.19,0.62,0.81,3.34,7.02,12.85,15.28,16.48,14.57,10.7,8.12,4.54,2.67,1.53,0.48,0.38,0.24,0.05,0.14,0.0,10,Kirovograd
1981,38.0,0.212,292.78,39.97,47.45,43.71,0.05,0.14,0.72,1.48,3.2,7.26,13.13,14.85,15.52,14.66,10.89,7.45,4.87,2.72,1.72,0.81,0.24,0.1,0.0,0.1,0.1,10,Kirovograd
1981,39.0,0.21100000000000002,291.12,46.4,43.74,45.07,0.0,0.1,0.53,1.1,2.63,6.35,10.7,15.09,15.23,16.43,11.89,8.17,4.97,3.2,1.58,1.24,0.43,0.19,0.05,0.0,0.14,10,Kirovograd
1981,40.0,0.207,288.88,50.97,44.65,47.81,0.0,0.0,0.29,0.86,1.24,3.72,7.93,12.8,15.28,16.71,15.23,10.27,7.21,3.87,2.29,1.58,0.19,0.29,0.1,0.0,0.14,10,Kirovograd
1981,41.0,0.2,286.02,54.83,48.3,51.56,0.0,0.0,0.05,0.29,0.53,1.43,4.01,9.6,14.37,17.62,15.47,14.47,9.41,5.78,3.58,2.05,0.72,0.29,0.1,0.1,0.14,10,Kirovograd
1981,42.0,0.19,282.78,58.33,52.78,55.55,0.0,0.0,0.0,0.1,0.14,0.48,1.24,5.01,10.41,16.09,18.43,15.09,12.37,9.5,5.54,2.91,1.72,0.43,0.19,0.24,0.1,10,Kirovograd
1981,43.0,0.174,279.62,58.62,53.91,56.27,0.0,0.0,0.0,0.05,0.0,0.43,1.05,4.78,9.5,15.85,17.05,16.05,13.23,9.84,6.54,2.87,1.77,0.38,0.48,0.1,0.05,10,Kirovograd
1981,44.0,0.149,275.89,54.2,52.49,53.35,0.0,0.0,0.0,0.05,0.14,0.53,4.11,8.55,12.18,17.1,14.8,14.04,12.08,7.45,4.39,2.48,1.53,0.33,0.19,0.05,0.0,10,Kirovograd
1981,45.0,0.121,272.43,46.82,52.13,49.48,0.0,0.0,0.0,0.19,1.05,3.87,7.35,12.89,13.85,15.04,13.37,11.37,8.21,5.87,4.11,1.86,0.72,0.1,0.05,0.1,0.0,10,Kirovograd
1981,46.0,0.1,269.42,42.87,52.71,47.79,0.0,0.0,0.1,0.67,3.01,6.16,10.03,12.7,12.66,13.8,9.84,9.5,8.98,6.02,4.01,1.62,0.72,0.05,0.05,0.1,0.0,10,Kirovograd
1981,47.0,0.09,267.14,43.72,52.82,48.27,0.0,0.0,0.1,0.81,2.77,6.35,9.6,12.03,12.37,12.94,10.41,8.79,10.65,5.92,4.25,1.91,0.53,0.33,0.14,0.1,0.0,10,Kirovograd
1981,48.0,0.081,265.52,45.06,51.81,48.43,0.0,0.0,0.1,0.76,2.39,6.26,8.83,12.37,12.32,12.42,11.32,10.17,10.7,5.87,3.87,1.62,0.53,0.14,0.1,0.24,0.0,10,Kirovograd
1981,49.0,0.07,264.02,45.5,50.41,47.95,0.0,0.0,0.0,0.62,2.15,5.83,8.69,12.85,12.85,13.9,12.37,10.98,10.32,5.06,2.58,1.05,0.29,0.1,0.1,0.19,0.1,10,Kirovograd
1981,50.0,0.066,262.87,47.61,47.23,47.42,0.0,0.0,0.0,0.29,1.77,4.92,8.69,12.27,15.57,15.04,15.19,10.98,8.31,4.2,1.67,0.57,0.14,0.1,0.19,0.05,0.05,10,Kirovograd
1981,51.0,0.06,261.87,46.29,44.75,45.52,0.0,0.0,0.05,0.33,1.72,5.35,9.79,14.9,18.1,16.95,12.7,10.08,5.87,2.34,1.1,0.48,0.05,0.14,0.05,0.0,0.0,10,Kirovograd
1981,52.0,0.051,260.96,39.93,44.33,42.13,0.0,0.0,0.05,0.19,2.2,8.02,13.51,20.01,19.01,16.0,10.79,6.26,2.34,1.15,0.33,0.1,0.05,0.0,0.0,0.0,0.0,10,Kirovograd
1982,1.0,0.045,261.12,36.68,41.79,39.23,0.0,0.0,0.05,0.29,2.24,12.03,18.91,22.87,19.77,12.46,6.83,2.96,1.15,0.38,0.05,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,2.0,0.040999999999999995,262.61,36.46,35.1,35.78,0.0,0.0,0.0,0.62,5.68,17.29,25.98,23.07,15.43,7.4,3.25,1.24,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,3.0,0.040999999999999995,263.82,36.49,30.79,33.64,0.0,0.0,0.0,0.67,8.79,22.73,29.13,20.77,11.94,4.06,1.43,0.43,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,4.0,0.038,264.71,33.46,28.66,31.06,0.0,0.0,0.0,0.86,12.94,31.95,31.09,16.57,4.97,1.38,0.19,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,5.0,0.034,264.76,29.66,30.5,30.08,0.0,0.0,0.0,0.24,14.42,38.87,30.52,12.94,2.72,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,6.0,0.033,265.5,26.5,32.88,29.69,0.0,0.0,0.0,0.05,12.85,44.99,30.13,10.46,1.43,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,7.0,0.033,266.58,23.46,35.64,29.55,0.0,0.0,0.0,0.05,10.17,49.57,28.94,10.32,0.81,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,8.0,0.035,267.64,22.5,39.09,30.79,0.0,0.0,0.0,0.0,4.97,42.17,37.54,13.23,1.77,0.29,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,9.0,0.036000000000000004,268.9,20.89,43.95,32.42,0.0,0.0,0.0,0.0,2.01,25.45,49.14,19.68,3.06,0.62,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,10.0,0.039,270.55,17.81,48.85,33.33,0.0,0.0,0.0,0.05,2.29,18.24,46.18,28.7,3.92,0.53,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,11.0,0.052000000000000005,273.52,19.6,46.13,32.87,0.0,0.0,0.0,0.1,3.01,23.4,43.03,25.45,4.68,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,12.0,0.067,277.3,22.67,42.61,32.64,0.0,0.0,0.0,0.19,4.11,25.45,40.59,23.45,5.25,0.86,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,13.0,0.079,280.02,24.18,42.58,33.38,0.0,0.0,0.05,0.19,5.21,21.3,37.11,25.6,7.93,2.01,0.48,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,14.0,0.08900000000000001,282.21,23.58,45.83,34.71,0.0,0.0,0.05,0.29,4.35,17.96,31.57,28.08,12.13,3.72,1.15,0.67,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,15.0,0.098,283.7,20.43,56.82,38.62,0.0,0.0,0.0,0.14,2.63,10.08,21.44,25.26,19.91,12.08,5.73,2.44,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,16.0,0.11800000000000001,285.36,20.38,69.83,45.11,0.0,0.0,0.0,0.14,0.67,4.11,9.89,15.38,18.96,17.43,18.53,10.98,3.34,0.53,0.05,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,17.0,0.146,287.17,21.73,82.6,52.16,0.0,0.0,0.0,0.05,0.14,0.57,2.72,6.49,11.17,13.13,23.5,25.02,12.75,3.96,0.48,0.0,0.0,0.0,0.0,0.0,0.0,10,Kirovograd
1982,18.0,0.184,289.66,25.97,85.71,55.84,0.0,0.0,0.0,0.1,0.05,0.53,1.72,3.06,6.49,11.51,17.48,24.16,21.2,10.22,3.1,0.29,0.1,0.0,0.0,0.0,0.0,10,Kirovograd
1982,19.0,0.22699999999999998,292.27,29.27,83.82,56.54,0.0,0.0,0.0,0.05,0.1,0.76,1.81,4.01,6.02,10.74,15.9,21.01,19.29,13.94,4.97,1.1,0.24,0.05,0.0,0.0,0.0,10,Kirovograd
1982,20.0,0.265,293.88,30.82,80.61,55.72,0.0,0.0,0.0,0.0,0.1,0.72,2.1,5.3,7.69,11.32,17.57,18.58,17.57,11.94,4.97,1.96,0.1,0.1,0.0,0.0,0.0,10,Kirovograd
1982,21.0,0.295,294.53,30.86,81.58,56.22,0.0,0.0,0.0,0.05,0.0,0.38,1.77,4.92,8.07,11.89,18.34,18.15,15.57,10.98,6.35,2.2,1.15,0.14,0.05,0.0,0.0,10,Kirovograd
1982,22.0,0.315,294.79,27.41,82.45,54.93,0.0,0.0,0.05,0.0,0.05,0.24,1.38,5.97,11.27,14.33,18.39,16.52,13.99,9.46,5.11,1.81,1.05,0.29,0.1,0.0,0.0,10,Kirovograd
1982,23.0,0.324,294.53,20.79,85.74,53.27,0.0,0.0,0.0,0.05,0.14,0.19,1.19,5.59,13.37,18.15,21.11,16.62,10.84,6.78,3.68,1.58,0.43,0.14,0.1,0.05,0.0,10,Kirovograd
1982,24.0,0.332,294.71,18.77,87.14,52.95,0.0,0.0,0.0,0.1,0.05,0.24,0.96,5.78,13.42,18.24,22.21,16.95,10.79,6.35,3.39,0.96,0.38,0.14,0.05,0.0,0.0,10,Kirovograd
1982,25.0,0.336,294.7,20.47,90.88,55.68,0.0,0.0,0.0,0.0,0.05,0.19,0.33,2.87,7.35,14.28,23.4,19.01,17.53,9.31,4.15,1.19,0.33,0.0,0.0,0.0,0.0,10,Kirovograd
1982,26.0,0.33799999999999997,294.62,23.38,93.28,58.33,0.0,0.0,0.0,0.0,0.0,0.05,0.29,1.1,4.78,8.45,21.06,20.39,21.01,14.28,6.35,1.86,0.29,0.1,0.0,0.0,0.0,10,Kirovograd
1982,27.0,0.336,294.74,25.31,93.27,59.29,0.0,0.0,0.0,0.0,0.05,0.0,0.29,1.24,2.96,8.12,17.81,20.96,22.25,16.62,7.21,2.15,0.29,0.05,0.0,0.0,0.0,10,Kirovograd
1982,28.0,0.335,294.94,30.03,91.68,60.86,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.72,3.06,5.97,14.28,18.43,23.69,20.3,9.36,3.25,0.53,0.1,0.0,0.0,0.0,10,Kirovograd
1982,29.0,0.34,295.44,38.12,89.06,63.59,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.38,1.72,4.2,9.6,16.28,21.49,23.64,14.04,6.54,1.67,0.29,0.05,0.0,0.0,10,Kirovograd
1982,30.0,0.33899999999999997,295.9,44.76,85.09,64.92,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,1.15,3.15,8.26,14.09,21.73,23.88,16.62,7.98,2.44,0.33,0.14,0.0,0.0,10,Kirovograd
1982,31.0,0.332,296.39,47.72,79.13,63.42,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.29,1.86,4.35,9.98,17.96,22.06,20.44,13.71,6.78,2.1,0.33,0.05,0.0,0.0,10,Kirovograd
