year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.415,288.84,35.31,80.71,58.01,0.0,0.0,0.0,0.28,0.09,0.47,2.05,4.38,7.36,10.89,17.88,12.94,13.22,12.01,8.94,4.75,2.7,1.4,0.47,0.19,0.0,6,Zakarpatya
1981,36.0,0.41,289.06,41.73,65.08,53.4,0.0,0.09,0.19,0.74,1.3,1.68,4.56,7.91,11.17,13.78,16.2,11.45,9.4,8.19,6.24,3.54,2.23,0.74,0.47,0.09,0.0,6,Zakarpatya
1981,37.0,0.39899999999999997,288.68,45.99,53.01,49.5,0.0,0.09,0.65,0.74,2.23,3.45,6.89,9.5,16.67,16.01,12.48,9.59,6.8,4.19,5.12,3.07,1.49,0.65,0.28,0.09,0.0,6,Zakarpatya
1981,38.0,0.384,288.05,46.69,45.4,46.05,0.0,0.65,0.47,1.4,3.72,5.03,8.38,15.74,14.71,16.39,11.36,6.24,5.03,3.54,2.79,2.7,1.02,0.56,0.28,0.0,0.0,6,Zakarpatya
1981,39.0,0.36700000000000005,287.13,47.02,39.11,43.06,0.0,0.37,0.47,1.77,4.1,8.47,13.97,17.23,15.46,12.76,7.91,5.4,4.19,3.07,2.23,1.3,0.93,0.28,0.09,0.0,0.0,6,Zakarpatya
1981,40.0,0.344,285.93,46.78,34.2,40.49,0.09,0.19,0.37,2.89,5.96,12.76,18.16,16.67,12.94,8.01,6.7,4.47,3.91,2.89,1.77,1.21,0.65,0.28,0.09,0.0,0.0,6,Zakarpatya
1981,41.0,0.319,284.29,47.73,32.2,39.96,0.0,0.09,0.47,2.61,7.73,14.25,18.06,16.11,13.04,8.01,3.91,4.75,2.42,3.72,1.68,1.86,0.84,0.28,0.19,0.0,0.0,6,Zakarpatya
1981,42.0,0.289,282.05,48.28,36.9,42.59,0.0,0.0,0.0,1.77,5.31,11.64,16.29,16.85,14.06,9.4,5.77,5.03,3.45,3.07,2.89,2.42,1.21,0.47,0.37,0.0,0.0,6,Zakarpatya
1981,43.0,0.256,278.63,47.52,52.89,50.2,0.0,0.0,0.0,0.09,1.3,3.54,9.5,14.15,13.78,13.97,11.92,8.57,6.15,4.66,3.63,3.45,2.14,2.14,0.84,0.09,0.09,6,Zakarpatya
1981,44.0,0.21600000000000003,274.96,42.63,66.41,54.52,0.0,0.0,0.0,0.0,0.09,0.65,3.54,9.87,14.62,13.87,13.04,13.04,8.94,6.98,5.59,5.12,2.51,1.12,0.84,0.19,0.0,6,Zakarpatya
1981,45.0,0.177,271.45,35.08,72.51,53.79,0.0,0.0,0.0,0.0,0.09,0.93,3.26,10.43,14.34,15.46,12.85,12.76,8.57,7.08,6.33,4.1,2.7,0.74,0.37,0.0,0.0,6,Zakarpatya
1981,46.0,0.14,266.9,27.87,79.41,53.64,0.0,0.0,0.0,0.0,0.09,0.84,4.84,7.45,13.87,13.97,16.29,12.57,8.57,9.68,5.59,4.1,1.86,0.28,0.0,0.0,0.0,6,Zakarpatya
1981,47.0,0.113,262.48,24.3,87.65,55.97,0.0,0.0,0.0,0.0,0.0,0.47,2.23,5.21,6.8,12.2,20.48,15.46,14.62,13.59,5.59,2.79,0.47,0.09,0.0,0.0,0.0,6,Zakarpatya
1981,48.0,0.095,258.87,23.15,93.26,58.2,0.0,0.0,0.0,0.0,0.0,0.09,0.93,2.89,4.28,5.49,16.76,23.18,27.65,13.22,4.84,0.56,0.09,0.0,0.0,0.0,0.0,6,Zakarpatya
1981,49.0,0.08,255.96,20.97,95.82,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.93,2.89,5.49,15.55,29.05,32.31,11.82,1.3,0.09,0.0,0.0,0.0,0.0,0.0,6,Zakarpatya
