year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.289,287.8,13.34,90.48,51.91,0.0,0.0,0.0,0.0,0.22,1.63,2.39,4.84,6.91,9.9,48.04,8.54,7.24,4.84,2.56,1.41,1.09,0.27,0.11,0.0,0.0,2,Volyn
1981,36.0,0.298,289.03,21.4,70.71,46.05,0.0,0.0,0.49,1.09,2.5,4.84,8.92,11.48,13.82,13.76,22.8,10.55,4.79,2.77,1.14,0.71,0.22,0.11,0.0,0.0,0.0,2,Volyn
1981,37.0,0.298,289.2,29.04,51.99,40.51,0.11,0.33,1.09,2.45,5.77,9.58,14.09,15.89,15.67,13.28,9.79,5.88,3.65,1.69,0.54,0.16,0.05,0.0,0.0,0.0,0.0,2,Volyn
1981,38.0,0.294,288.87,35.54,41.34,38.44,0.05,0.33,1.09,3.92,6.58,12.02,15.18,18.39,15.4,10.77,7.07,5.01,2.61,1.03,0.44,0.11,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,39.0,0.285,287.74,40.58,37.99,39.28,0.0,0.16,0.6,3.37,6.15,10.01,16.27,17.41,15.4,12.89,8.32,5.82,2.39,0.82,0.33,0.05,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,40.0,0.272,285.96,43.25,40.04,41.65,0.0,0.0,0.33,1.14,3.7,7.78,13.33,18.88,17.3,16.05,11.81,5.33,2.83,1.09,0.33,0.11,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,41.0,0.251,283.39,43.66,48.9,46.28,0.0,0.0,0.0,0.05,1.14,3.48,7.02,14.74,18.82,21.0,15.4,9.85,5.55,1.69,1.14,0.11,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,42.0,0.223,280.11,41.62,62.4,52.01,0.0,0.0,0.0,0.0,0.0,0.82,2.23,7.07,11.92,19.31,23.23,15.51,11.53,5.11,2.39,0.76,0.11,0.0,0.0,0.0,0.0,2,Volyn
1981,43.0,0.18600000000000003,276.19,35.13,75.19,55.16,0.0,0.0,0.0,0.0,0.0,0.49,1.58,4.79,7.62,13.87,20.73,19.53,16.65,8.87,4.3,1.47,0.11,0.0,0.0,0.0,0.0,2,Volyn
1981,44.0,0.15,271.99,28.13,82.79,55.46,0.0,0.0,0.0,0.0,0.0,0.44,1.47,3.1,7.45,12.51,22.14,20.78,17.74,9.74,3.92,0.65,0.05,0.0,0.0,0.0,0.0,2,Volyn
1981,45.0,0.12,267.35,21.68,88.35,55.01,0.0,0.0,0.0,0.0,0.0,0.27,0.82,2.72,5.88,11.21,27.15,25.73,18.23,6.69,1.14,0.16,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,46.0,0.09699999999999999,263.6,19.05,90.77,54.91,0.0,0.0,0.0,0.0,0.0,0.05,0.6,2.07,5.44,10.72,26.93,31.88,17.79,4.03,0.49,0.0,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,47.0,0.085,260.87,20.95,92.07,56.51,0.0,0.0,0.0,0.0,0.0,0.05,0.27,1.03,3.92,9.09,21.6,34.44,23.01,5.82,0.76,0.0,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,48.0,0.077,258.86,23.36,92.21,57.79,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.65,3.32,8.11,15.56,33.13,27.26,9.9,1.85,0.0,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,49.0,0.068,256.55,22.22,92.79,57.5,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.71,4.03,6.69,18.93,34.49,22.58,10.34,2.01,0.0,0.0,0.0,0.0,0.0,0.0,2,Volyn
1981,50.0,0.062,254.76,19.38,93.26,56.32,0.0,0.0,0.0,0.0,0.0,0.11,0.11,1.25,4.3,6.91,23.56,37.27,20.89,4.19,1.14,0.22,0.05,0.0,0.0,0.0,0.0,2,Volyn
1981,51.0,0.059000000000000004,253.93,21.9,92.75,57.32,0.0,0.0,0.0,0.0,0.0,0.16,0.38,1.36,3.43,6.91,18.93,34.55,23.72,8.16,2.01,0.33,0.05,0.0,0.0,0.0,0.0,2,Volyn
