year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.294,287.55,17.37,95.22,56.3,0.0,0.0,0.0,0.0,0.11,0.11,0.5,1.72,3.93,6.31,47.45,10.41,9.08,8.53,4.71,3.49,2.1,1.0,0.44,0.11,0.0,16,Rivne
1981,36.0,0.304,288.87,27.81,75.86,51.84,0.0,0.0,0.0,0.22,0.94,1.61,4.76,8.25,13.23,13.95,20.16,12.62,10.58,6.04,4.04,2.1,0.89,0.55,0.06,0.0,0.0,16,Rivne
1981,37.0,0.305,289.41,36.83,53.05,44.94,0.0,0.0,0.44,1.38,2.88,6.15,11.07,15.23,15.39,14.29,12.18,8.47,5.65,3.82,2.05,0.83,0.17,0.0,0.0,0.0,0.0,16,Rivne
1981,38.0,0.301,289.34,43.0,37.74,40.37,0.06,0.5,0.89,2.77,6.92,8.8,14.23,15.28,15.5,13.68,9.58,5.54,3.32,1.99,0.5,0.44,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,39.0,0.29,288.46,46.51,28.99,37.75,0.06,0.22,1.11,4.32,8.36,13.23,15.45,17.33,14.01,10.52,7.64,3.99,1.99,1.0,0.61,0.11,0.06,0.0,0.0,0.0,0.0,16,Rivne
1981,40.0,0.27399999999999997,286.71,46.61,28.87,37.74,0.0,0.17,0.78,2.6,7.75,13.79,17.0,18.6,15.28,10.47,7.09,3.93,1.11,1.16,0.22,0.06,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,41.0,0.248,283.95,44.43,37.93,41.18,0.0,0.06,0.22,1.38,3.93,8.97,15.39,17.33,18.77,14.06,8.47,6.15,3.38,1.33,0.44,0.11,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,42.0,0.215,280.38,38.88,56.43,47.66,0.0,0.0,0.0,0.17,0.72,2.6,7.2,11.35,18.66,20.65,16.67,10.58,5.59,3.6,1.44,0.55,0.22,0.0,0.0,0.0,0.0,16,Rivne
1981,43.0,0.175,276.54,29.73,70.62,50.17,0.0,0.0,0.0,0.0,0.17,1.27,3.93,10.63,14.34,18.49,20.1,15.56,8.86,4.32,1.72,0.55,0.06,0.0,0.0,0.0,0.0,16,Rivne
1981,44.0,0.139,272.47,22.09,76.58,49.33,0.0,0.0,0.0,0.0,0.22,1.55,5.37,11.63,14.67,16.28,20.54,15.56,9.41,3.65,0.83,0.28,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,45.0,0.11,268.17,16.56,82.3,49.43,0.0,0.0,0.0,0.0,0.28,1.16,4.82,9.8,13.57,15.12,28.18,16.61,7.81,1.83,0.78,0.06,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,46.0,0.091,265.04,15.6,81.54,48.57,0.0,0.0,0.0,0.06,0.72,1.38,6.15,9.41,13.95,15.95,28.07,17.66,4.98,1.55,0.11,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,47.0,0.08,262.66,18.65,80.94,49.8,0.0,0.0,0.0,0.06,0.44,1.33,4.54,7.75,13.84,15.95,25.14,22.04,7.42,1.44,0.06,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,48.0,0.07400000000000001,260.97,22.57,80.26,51.42,0.0,0.0,0.0,0.0,0.17,1.27,3.71,6.42,12.35,15.78,19.77,24.53,11.9,3.71,0.39,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,49.0,0.067,258.96,22.19,81.86,52.03,0.0,0.0,0.0,0.0,0.11,1.27,3.05,6.09,10.41,16.67,19.1,25.64,13.73,3.43,0.44,0.06,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,50.0,0.065,257.02,22.22,83.54,52.88,0.0,0.0,0.0,0.0,0.17,0.83,2.99,4.87,9.91,13.84,18.22,28.52,16.72,3.71,0.11,0.11,0.0,0.0,0.0,0.0,0.0,16,Rivne
1981,51.0,0.066,255.95,26.41,82.49,54.45,0.0,0.0,0.0,0.0,0.22,0.61,2.1,4.71,7.97,13.62,15.95,24.31,21.26,7.97,1.16,0.06,0.06,0.0,0.0,0.0,0.0,16,Rivne
1981,52.0,0.07,256.32,33.06,75.48,54.27,0.0,0.0,0.0,0.06,0.39,1.0,2.49,5.2,8.86,14.4,16.17,19.49,18.55,9.3,3.38,0.66,0.06,0.0,0.0,0.0,0.0,16,Rivne
1982,1.0,0.077,258.13,44.89,63.95,54.42,0.0,0.0,0.0,0.0,0.22,0.94,2.44,5.87,9.08,15.12,16.39,19.21,14.56,9.91,4.54,1.44,0.22,0.0,0.06,0.0,0.0,16,Rivne
1982,2.0,0.084,261.28,55.41,47.93,51.67,0.0,0.0,0.0,0.0,0.5,0.89,3.16,7.36,13.62,18.33,18.6,16.5,12.46,5.54,2.44,0.61,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,3.0,0.08800000000000001,263.61,59.42,38.01,48.72,0.0,0.0,0.0,0.06,0.55,1.44,4.54,10.02,18.83,19.44,20.1,14.12,7.81,2.21,0.78,0.11,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,4.0,0.091,266.15,57.55,29.88,43.71,0.0,0.0,0.06,0.17,0.83,2.88,9.86,19.38,24.58,21.1,12.4,5.98,2.21,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,5.0,0.092,267.85,50.06,29.18,39.62,0.0,0.0,0.06,0.22,1.5,6.15,16.94,28.46,25.25,14.51,4.65,1.94,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,6.0,0.094,268.92,44.28,31.75,38.01,0.0,0.0,0.06,0.06,1.5,6.64,22.81,34.11,22.81,8.8,2.38,0.66,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,7.0,0.098,270.5,41.33,30.62,35.97,0.0,0.0,0.0,0.17,2.16,11.18,32.23,31.23,17.11,4.6,1.11,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,8.0,0.106,272.32,42.5,29.83,36.16,0.0,0.0,0.0,0.0,1.55,8.91,33.72,31.95,18.6,4.15,0.94,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,9.0,0.113,274.01,43.51,29.97,36.74,0.0,0.0,0.0,0.0,1.05,7.97,29.24,35.71,20.21,4.93,0.55,0.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,10.0,0.12,275.63,43.53,31.8,37.66,0.0,0.0,0.0,0.0,1.16,6.09,23.2,38.1,23.42,6.42,1.33,0.22,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,11.0,0.131,277.26,42.7,31.96,37.33,0.0,0.0,0.0,0.17,1.66,7.64,23.48,36.54,22.65,6.15,1.5,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,12.0,0.142,278.95,40.84,38.51,39.68,0.0,0.0,0.0,0.11,0.55,5.26,15.61,29.68,31.17,12.85,3.65,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,13.0,0.152,280.63,36.97,43.54,40.26,0.0,0.0,0.0,0.06,0.83,5.81,14.67,26.41,29.57,15.5,5.37,1.38,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,14.0,0.161,282.33,31.56,48.11,39.83,0.0,0.0,0.0,0.22,1.83,7.25,17.05,25.36,24.25,14.95,6.59,1.83,0.55,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,15.0,0.168,283.63,23.71,57.97,40.84,0.0,0.0,0.0,0.22,2.16,7.81,14.84,22.48,23.03,14.17,9.58,3.82,1.61,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,16.0,0.185,285.07,20.25,65.26,42.75,0.0,0.0,0.11,0.61,1.44,6.2,13.68,18.05,20.27,16.45,12.35,6.98,3.1,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,17.0,0.21100000000000002,286.78,20.42,68.25,44.33,0.0,0.0,0.28,0.72,1.61,4.87,11.57,16.22,16.89,16.78,15.89,9.08,4.65,1.38,0.06,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,18.0,0.247,288.38,24.45,66.51,45.48,0.0,0.11,0.06,0.55,1.27,4.37,11.02,13.29,16.61,17.61,18.27,8.58,5.87,1.83,0.39,0.11,0.06,0.0,0.0,0.0,0.0,16,Rivne
1982,19.0,0.292,290.08,32.91,61.53,47.22,0.0,0.0,0.11,0.06,0.89,3.32,7.81,14.01,15.34,18.66,17.17,11.24,6.81,3.1,1.0,0.33,0.11,0.0,0.0,0.06,0.0,16,Rivne
1982,20.0,0.34,291.55,43.46,56.61,50.04,0.0,0.0,0.0,0.06,0.72,1.66,4.98,9.8,16.22,17.11,17.28,14.23,10.08,4.98,2.16,0.44,0.17,0.06,0.06,0.0,0.0,16,Rivne
1982,21.0,0.373,291.98,48.59,59.47,54.03,0.0,0.0,0.0,0.11,0.22,0.89,2.77,5.87,12.07,14.45,18.99,14.51,14.12,8.31,4.65,2.21,0.61,0.17,0.06,0.0,0.0,16,Rivne
1982,22.0,0.39399999999999996,292.18,50.77,60.28,55.52,0.0,0.0,0.06,0.11,0.22,0.78,2.27,5.2,9.19,14.78,15.5,17.44,13.51,10.85,5.48,3.1,1.05,0.39,0.06,0.0,0.0,16,Rivne
1982,23.0,0.40299999999999997,292.22,49.81,61.34,55.58,0.0,0.0,0.0,0.22,0.33,0.72,2.49,4.93,9.08,15.28,15.23,16.11,14.45,10.08,6.26,3.05,1.33,0.39,0.0,0.06,0.0,16,Rivne
1982,24.0,0.4,292.01,42.83,64.96,53.89,0.0,0.0,0.06,0.17,0.39,1.33,3.77,6.15,9.41,15.01,17.83,15.95,13.18,8.42,5.09,2.05,1.11,0.06,0.0,0.06,0.0,16,Rivne
1982,25.0,0.391,291.7,36.58,70.58,53.58,0.0,0.0,0.0,0.11,0.44,1.22,2.99,5.32,10.58,15.12,20.1,16.56,12.46,9.03,3.71,1.77,0.5,0.11,0.0,0.0,0.0,16,Rivne
1982,26.0,0.384,291.7,32.23,72.16,52.19,0.0,0.0,0.0,0.06,0.5,1.16,3.32,6.59,11.9,16.78,21.43,15.61,11.57,6.64,3.05,1.0,0.33,0.06,0.0,0.0,0.0,16,Rivne
1982,27.0,0.382,292.16,31.41,69.34,50.37,0.0,0.0,0.0,0.11,0.44,1.94,3.99,8.69,14.62,18.55,19.93,13.51,10.08,5.37,1.72,0.66,0.22,0.17,0.0,0.0,0.0,16,Rivne
1982,28.0,0.386,292.78,34.3,66.07,50.18,0.0,0.0,0.0,0.11,0.61,1.72,4.54,9.86,15.34,18.55,16.83,13.95,9.19,5.54,2.6,0.89,0.17,0.11,0.0,0.0,0.0,16,Rivne
1982,29.0,0.391,293.51,40.27,61.52,50.89,0.0,0.0,0.06,0.06,0.55,1.77,3.82,10.74,14.62,17.17,16.28,13.4,10.91,5.65,2.99,1.38,0.39,0.22,0.0,0.0,0.0,16,Rivne
1982,30.0,0.392,294.15,44.67,56.8,50.73,0.0,0.0,0.11,0.06,0.78,1.38,5.32,9.36,14.45,17.44,16.45,14.56,9.36,5.98,2.71,1.5,0.39,0.06,0.11,0.0,0.0,16,Rivne
1982,31.0,0.386,294.45,43.24,52.37,47.8,0.0,0.11,0.17,0.22,1.5,3.1,6.92,13.29,15.45,16.33,17.39,12.07,7.03,3.65,1.27,1.27,0.11,0.11,0.0,0.0,0.0,16,Rivne
1982,32.0,0.376,294.33,38.99,51.87,45.43,0.0,0.11,0.44,0.83,2.66,4.65,9.36,14.45,15.89,17.0,14.62,9.25,5.98,2.6,1.61,0.44,0.06,0.06,0.0,0.0,0.0,16,Rivne
1982,33.0,0.37200000000000005,294.25,40.04,48.69,44.37,0.0,0.33,0.55,1.44,3.65,5.98,9.8,14.23,16.0,16.06,13.01,7.59,7.2,2.38,1.33,0.33,0.06,0.06,0.0,0.0,0.0,16,Rivne
1982,34.0,0.366,294.14,41.62,41.79,41.7,0.28,0.72,1.22,3.16,5.76,7.31,11.46,14.01,14.84,14.23,11.02,7.97,5.04,1.77,1.11,0.11,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,35.0,0.359,293.57,45.18,36.86,41.02,0.39,0.78,1.5,2.66,5.54,8.58,11.63,15.23,14.34,14.12,11.85,7.2,3.99,1.38,0.78,0.06,0.0,0.0,0.0,0.0,0.0,16,Rivne
1982,36.0,0.34700000000000003,292.8,48.32,30.8,39.56,0.22,0.66,1.77,2.33,5.65,9.91,14.78,15.61,15.67,14.17,9.52,6.31,2.1,0.83,0.44,0.0,0.0,0.0,0.0,0.0,0.0,16,Rivne
