year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.261,291.4,6.51,81.49,44.0,0.0,0.04,0.04,0.98,3.16,7.21,11.18,12.93,14.21,11.57,26.25,5.55,3.67,1.37,0.9,0.38,0.34,0.0,0.09,0.09,0.04,1,Vinnitsa
1981,36.0,0.262,291.76,12.24,64.35,38.3,0.04,0.38,1.92,4.65,8.66,13.53,15.11,13.15,12.93,9.65,9.52,4.1,2.56,2.01,0.81,0.34,0.34,0.13,0.17,0.0,0.0,1,Vinnitsa
1981,37.0,0.26,291.55,19.7,51.17,35.43,0.3,1.75,4.1,7.0,11.48,14.0,14.98,12.16,10.63,8.32,5.55,3.59,2.48,1.79,0.6,0.51,0.51,0.17,0.09,0.0,0.0,1,Vinnitsa
1981,38.0,0.255,290.86,26.27,43.07,34.67,1.45,2.26,4.69,7.77,11.18,12.51,14.81,12.93,9.52,7.55,4.99,3.88,2.56,1.92,0.98,0.38,0.34,0.17,0.09,0.0,0.0,1,Vinnitsa
1981,39.0,0.249,289.56,32.22,39.72,35.97,1.11,2.22,4.31,6.96,10.88,12.04,12.89,12.97,11.1,7.68,5.8,4.44,2.65,2.43,1.15,0.68,0.34,0.21,0.13,0.0,0.0,1,Vinnitsa
1981,40.0,0.237,287.74,35.88,40.84,38.36,0.73,1.41,3.71,6.06,8.24,11.14,12.29,13.44,11.78,9.6,6.44,5.12,3.84,2.9,1.58,1.02,0.34,0.3,0.04,0.0,0.0,1,Vinnitsa
1981,41.0,0.21899999999999997,285.35,37.55,42.35,39.95,0.38,0.94,2.6,4.74,8.32,10.24,12.59,13.19,12.33,9.86,7.85,5.42,4.91,3.24,1.71,1.15,0.34,0.09,0.09,0.0,0.0,1,Vinnitsa
1981,42.0,0.195,282.52,37.91,49.51,43.71,0.0,0.17,1.49,2.82,5.38,9.26,12.04,12.76,12.38,10.8,9.43,7.13,6.36,4.65,3.33,0.98,0.77,0.17,0.04,0.04,0.0,1,Vinnitsa
1981,43.0,0.165,279.36,35.16,58.01,46.59,0.0,0.04,0.26,1.79,3.76,7.0,10.84,12.12,13.19,11.27,10.71,9.05,7.6,5.72,4.1,1.66,0.51,0.3,0.09,0.0,0.0,1,Vinnitsa
1981,44.0,0.136,275.69,30.79,59.2,44.99,0.0,0.0,0.34,2.39,5.89,8.71,11.52,11.14,12.08,9.94,10.41,9.3,8.15,5.68,3.03,1.02,0.34,0.0,0.0,0.04,0.0,1,Vinnitsa
1981,45.0,0.109,271.77,25.48,58.48,41.98,0.0,0.04,0.64,3.41,8.32,12.46,12.97,12.12,8.28,8.15,9.69,10.03,8.58,3.76,1.37,0.13,0.0,0.04,0.0,0.0,0.0,1,Vinnitsa
1981,46.0,0.09,269.13,24.87,55.5,40.19,0.0,0.0,0.6,3.54,10.97,14.34,14.98,11.4,7.9,7.3,7.77,9.35,8.24,2.69,0.68,0.17,0.09,0.0,0.0,0.0,0.0,1,Vinnitsa
1981,47.0,0.081,267.25,31.19,52.97,42.08,0.0,0.0,0.17,2.09,7.21,14.21,16.6,12.08,9.77,7.21,6.06,7.81,9.43,4.74,1.66,0.6,0.26,0.09,0.0,0.0,0.0,1,Vinnitsa
1981,48.0,0.076,266.19,39.58,49.16,44.37,0.0,0.0,0.0,0.64,3.5,10.03,15.19,16.05,11.95,10.29,7.81,7.0,8.62,5.38,2.3,0.81,0.21,0.17,0.04,0.0,0.0,1,Vinnitsa
1981,49.0,0.068,265.15,43.66,45.0,44.33,0.0,0.0,0.0,0.43,3.12,7.38,12.63,17.97,16.47,12.33,9.48,7.43,5.55,3.93,2.22,0.77,0.21,0.04,0.04,0.0,0.0,1,Vinnitsa
1981,50.0,0.065,264.0,49.41,40.96,45.18,0.0,0.0,0.0,0.51,2.6,5.93,10.03,16.9,17.63,14.04,13.1,7.17,5.68,3.54,1.66,0.64,0.43,0.09,0.04,0.0,0.0,1,Vinnitsa
1981,51.0,0.063,262.73,56.06,37.55,46.81,0.0,0.0,0.0,0.04,2.52,4.82,9.73,13.79,15.45,15.62,13.74,9.94,6.32,4.27,1.88,1.07,0.51,0.3,0.0,0.0,0.0,1,Vinnitsa
1981,52.0,0.065,262.26,60.45,34.24,47.34,0.0,0.0,0.0,0.09,1.37,4.57,8.92,14.34,15.71,15.02,14.43,11.35,7.0,3.41,2.01,0.9,0.6,0.09,0.21,0.0,0.0,1,Vinnitsa
1982,1.0,0.068,263.59,63.47,28.34,45.9,0.0,0.0,0.0,0.13,1.58,5.38,10.8,16.39,15.92,15.11,12.16,10.76,6.06,3.07,1.41,0.77,0.17,0.13,0.17,0.0,0.0,1,Vinnitsa
1982,2.0,0.07400000000000001,265.78,67.62,23.05,45.34,0.0,0.0,0.0,0.04,1.07,4.01,11.52,16.77,18.4,14.64,14.13,11.48,4.78,2.26,0.55,0.34,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,3.0,0.076,267.19,69.37,20.4,44.88,0.0,0.0,0.0,0.0,0.47,2.9,10.71,18.74,20.15,17.07,13.91,11.14,3.8,0.98,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,4.0,0.075,268.57,65.26,17.93,41.6,0.0,0.0,0.0,0.0,0.43,5.16,18.57,22.36,22.62,13.32,8.19,7.81,1.45,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,5.0,0.07200000000000001,269.24,58.58,20.0,39.29,0.0,0.0,0.0,0.0,0.81,8.75,23.94,26.55,18.86,8.79,6.19,5.12,0.94,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,6.0,0.071,270.12,52.37,22.93,37.65,0.0,0.0,0.0,0.0,1.02,10.84,29.24,27.78,16.65,7.85,3.88,1.84,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,7.0,0.069,271.42,46.52,23.54,35.03,0.0,0.0,0.0,0.04,1.88,18.01,35.6,25.78,11.91,4.65,1.37,0.64,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,8.0,0.071,272.73,43.9,25.02,34.46,0.0,0.0,0.0,0.0,1.92,18.18,38.03,27.32,10.5,3.5,0.47,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,9.0,0.071,273.55,40.16,29.93,35.04,0.0,0.0,0.0,0.0,1.15,15.07,36.19,31.11,12.76,3.5,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,10.0,0.071,274.83,34.51,34.16,34.33,0.0,0.0,0.0,0.04,1.75,17.24,37.22,31.88,9.9,1.84,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,11.0,0.075,276.7,31.58,34.05,32.82,0.0,0.0,0.0,0.13,4.69,23.26,39.74,26.16,5.46,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,12.0,0.08199999999999999,278.76,27.79,38.59,33.19,0.0,0.0,0.0,0.26,4.23,20.44,39.99,27.7,6.57,0.77,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,13.0,0.08900000000000001,280.34,20.92,44.35,32.63,0.0,0.0,0.0,0.47,6.49,24.24,36.88,24.07,6.66,0.98,0.17,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,14.0,0.099,281.59,13.64,54.42,34.03,0.0,0.0,0.09,0.73,7.43,20.49,27.83,25.99,11.35,4.69,1.15,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,15.0,0.106,282.09,6.78,74.56,40.67,0.0,0.0,0.09,0.21,2.69,8.96,16.13,18.86,18.14,14.34,18.01,2.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,16.0,0.128,283.56,5.91,84.36,45.13,0.0,0.0,0.04,0.04,0.94,3.54,9.09,12.63,15.62,15.92,36.19,5.38,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,17.0,0.165,285.87,8.68,84.09,46.38,0.0,0.0,0.04,0.13,0.98,3.46,7.17,12.46,13.02,15.49,34.02,10.03,2.99,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,18.0,0.214,289.0,16.42,75.21,45.82,0.0,0.0,0.09,0.26,1.79,5.46,9.65,12.46,15.71,16.18,18.14,12.16,5.12,2.18,0.77,0.04,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,19.0,0.261,291.52,22.04,64.58,43.31,0.0,0.0,0.13,0.85,2.52,7.94,11.4,16.77,17.29,16.6,11.99,8.28,3.71,1.88,0.34,0.3,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,20.0,0.301,292.91,24.41,61.48,42.94,0.0,0.0,0.04,0.64,2.82,7.17,12.76,17.11,17.37,17.29,12.63,6.79,3.24,1.54,0.38,0.21,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,21.0,0.33299999999999996,293.18,24.73,66.04,45.39,0.0,0.0,0.0,0.3,1.15,4.48,9.39,14.9,19.16,18.74,15.49,8.79,4.52,1.96,0.77,0.34,0.0,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,22.0,0.354,292.83,20.96,73.67,47.31,0.0,0.0,0.0,0.0,0.38,2.3,7.21,14.0,17.5,20.27,17.71,11.05,5.46,2.39,1.15,0.34,0.21,0.0,0.0,0.0,0.0,1,Vinnitsa
1982,23.0,0.366,292.65,16.35,79.08,47.71,0.0,0.0,0.0,0.0,0.0,1.37,5.63,13.06,19.93,21.47,19.76,9.09,5.63,2.43,0.9,0.38,0.17,0.13,0.04,0.0,0.0,1,Vinnitsa
1982,24.0,0.375,292.83,14.69,81.4,48.04,0.0,0.0,0.0,0.0,0.04,0.94,3.93,12.29,21.6,21.9,20.27,8.96,5.72,2.56,0.94,0.34,0.17,0.3,0.0,0.0,0.04,1,Vinnitsa
