year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.187,295.55,27.75,87.39,57.57,0.0,0.0,0.0,0.0,0.27,0.75,2.58,4.25,9.04,10.49,18.61,14.63,13.18,9.58,6.83,3.82,2.37,1.45,1.02,0.59,0.54,20,Kherson
1981,36.0,0.191,295.73,32.69,74.9,53.79,0.0,0.0,0.05,0.32,1.13,3.01,5.81,8.55,10.33,13.45,13.56,12.26,9.2,7.75,5.38,3.71,2.1,1.13,0.91,0.7,0.65,20,Kherson
1981,37.0,0.192,295.47,37.17,62.41,49.79,0.0,0.05,0.32,1.08,2.85,5.43,7.26,10.81,12.53,11.62,12.96,10.92,8.61,6.29,3.55,2.21,0.86,1.13,0.7,0.48,0.32,20,Kherson
1981,38.0,0.192,294.76,42.21,53.78,47.99,0.0,0.22,0.81,1.61,3.66,5.97,8.93,10.33,11.51,12.05,13.88,9.95,8.12,5.11,3.55,1.51,1.24,0.81,0.38,0.27,0.11,20,Kherson
1981,39.0,0.18899999999999997,293.46,46.87,47.68,47.27,0.0,0.16,0.7,1.99,3.44,6.89,8.61,10.6,11.62,12.69,13.07,11.24,7.15,5.06,3.39,1.72,0.91,0.43,0.27,0.05,0.0,20,Kherson
1981,40.0,0.18600000000000003,291.58,49.75,43.4,46.58,0.0,0.16,0.65,1.94,3.5,6.19,9.58,11.3,11.89,13.88,13.39,9.79,7.91,4.41,2.9,1.72,0.65,0.05,0.0,0.11,0.0,20,Kherson
1981,41.0,0.18100000000000002,289.13,51.33,41.05,46.19,0.0,0.11,0.54,1.24,3.17,6.02,9.74,12.59,14.09,12.86,14.2,9.84,6.13,5.81,2.15,1.13,0.11,0.22,0.0,0.05,0.0,20,Kherson
1981,42.0,0.17300000000000001,286.18,51.36,41.81,46.59,0.0,0.05,0.38,0.75,2.47,5.06,9.68,12.26,14.15,15.01,15.6,9.84,7.64,4.3,1.72,0.86,0.05,0.11,0.0,0.05,0.0,20,Kherson
1981,43.0,0.163,283.36,50.66,42.54,46.6,0.0,0.0,0.05,0.59,1.78,5.11,8.71,13.02,14.95,15.49,17.37,11.03,6.08,3.87,1.4,0.43,0.05,0.0,0.05,0.0,0.0,20,Kherson
1981,44.0,0.147,280.18,46.34,41.38,43.86,0.0,0.0,0.0,0.65,2.53,7.05,11.46,15.92,16.68,15.22,15.38,8.28,3.77,2.15,0.7,0.11,0.05,0.05,0.0,0.0,0.0,20,Kherson
