year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.364,287.8,32.07,83.06,57.57,0.0,0.0,0.0,0.0,0.09,0.09,0.52,1.81,4.48,8.96,34.71,16.02,10.16,8.53,6.55,3.19,1.89,1.55,0.95,0.43,0.09,8,Iv-Frankivsk
1981,36.0,0.363,288.25,39.21,66.56,52.89,0.0,0.0,0.09,0.0,0.17,0.78,2.93,6.98,13.78,19.64,18.17,13.18,9.99,5.86,3.79,1.81,1.38,0.69,0.69,0.09,0.0,8,Iv-Frankivsk
1981,37.0,0.364,288.28,48.61,50.34,49.48,0.0,0.0,0.0,0.26,0.34,2.24,5.08,9.47,18.17,19.12,16.97,13.18,7.58,3.1,1.81,1.38,0.95,0.34,0.0,0.0,0.0,8,Iv-Frankivsk
1981,38.0,0.358,288.0,52.23,39.87,46.05,0.0,0.0,0.09,0.26,0.86,3.79,7.49,13.7,21.45,20.67,14.13,8.79,4.57,2.5,1.38,0.34,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,39.0,0.349,287.33,53.79,32.64,43.21,0.0,0.0,0.17,0.6,1.29,4.57,11.46,16.62,25.93,18.69,9.56,6.2,3.62,0.95,0.34,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,40.0,0.33,286.25,50.21,29.9,40.05,0.0,0.0,0.34,0.78,4.05,8.53,16.62,22.14,20.41,12.32,7.41,4.22,1.72,1.21,0.26,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,41.0,0.305,284.7,46.98,29.02,38.0,0.0,0.0,0.26,1.55,5.51,13.52,19.98,21.36,16.19,9.65,6.37,2.76,1.89,0.78,0.17,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,42.0,0.27699999999999997,282.46,45.44,35.47,40.45,0.0,0.0,0.0,0.52,3.1,10.08,17.66,19.72,19.81,12.4,8.61,4.82,1.81,1.03,0.43,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,43.0,0.243,279.34,42.67,45.43,44.05,0.0,0.0,0.0,0.0,0.17,5.77,12.92,18.43,18.35,19.21,12.32,7.32,3.45,1.21,0.43,0.34,0.09,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,44.0,0.205,276.05,37.83,52.29,45.06,0.0,0.0,0.0,0.0,0.09,1.29,7.84,17.31,27.56,21.71,13.18,6.37,3.1,1.12,0.26,0.17,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,45.0,0.161,272.61,28.5,56.85,42.67,0.0,0.0,0.0,0.0,0.34,4.57,11.89,23.6,23.0,17.92,10.94,5.25,2.15,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,46.0,0.129,269.12,24.99,61.09,43.04,0.0,0.0,0.0,0.09,1.03,5.25,12.4,18.52,21.79,18.52,13.78,6.46,1.46,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,47.0,0.11,265.68,25.99,66.71,46.35,0.0,0.0,0.0,0.0,0.43,3.01,7.58,14.13,19.12,18.95,19.47,9.65,5.25,2.33,0.09,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,48.0,0.09699999999999999,262.84,27.21,71.39,49.3,0.0,0.0,0.0,0.0,0.0,1.46,5.17,10.42,16.54,17.92,20.59,13.78,8.1,5.17,0.78,0.09,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,49.0,0.087,260.69,26.41,73.79,50.1,0.0,0.0,0.0,0.0,0.0,0.95,4.22,9.39,15.76,15.76,23.17,16.28,9.73,4.31,0.43,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,50.0,0.08,258.19,26.97,76.72,51.84,0.0,0.0,0.0,0.0,0.0,0.6,1.72,8.18,11.8,17.05,23.86,18.52,12.32,5.08,0.69,0.17,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,51.0,0.07400000000000001,256.11,28.18,79.12,53.65,0.0,0.0,0.0,0.0,0.0,0.26,1.55,4.91,9.91,14.9,23.17,21.36,14.47,7.67,1.55,0.26,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1981,52.0,0.071,255.15,27.86,79.72,53.79,0.0,0.0,0.0,0.0,0.0,0.43,0.86,5.25,9.22,14.38,23.43,21.45,16.71,6.98,1.21,0.09,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,1.0,0.07,255.79,27.63,78.38,53.0,0.0,0.0,0.0,0.0,0.0,0.26,1.38,4.48,11.11,15.76,24.72,21.1,15.42,4.82,0.95,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,2.0,0.073,257.68,30.82,71.96,51.39,0.0,0.0,0.0,0.0,0.09,0.43,2.76,8.01,13.52,16.71,23.34,16.97,11.89,5.0,1.21,0.09,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,3.0,0.077,259.75,33.88,64.97,49.42,0.0,0.0,0.0,0.0,0.26,0.52,3.62,9.47,18.69,21.62,19.64,13.78,7.67,3.19,1.38,0.17,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,4.0,0.08,261.9,34.23,58.57,46.4,0.0,0.0,0.0,0.0,0.52,1.03,5.77,17.14,23.17,19.72,15.5,9.3,5.17,2.15,0.26,0.26,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,5.0,0.08199999999999999,263.84,32.05,53.87,42.96,0.0,0.0,0.0,0.43,0.52,3.36,14.47,22.74,19.55,17.14,11.54,6.72,2.58,0.69,0.26,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,6.0,0.083,265.41,29.69,51.25,40.47,0.0,0.0,0.0,0.34,1.03,6.89,19.55,23.94,19.21,14.99,8.27,4.82,0.69,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,7.0,0.08900000000000001,267.1,30.04,48.41,39.22,0.0,0.0,0.09,0.09,1.64,9.22,22.57,23.77,20.07,11.54,7.67,2.5,0.69,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,8.0,0.095,268.85,31.34,47.04,39.19,0.0,0.0,0.09,0.09,0.95,8.79,23.08,24.89,19.21,13.18,6.55,2.33,0.6,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,9.0,0.10099999999999999,270.94,31.32,46.34,38.83,0.0,0.0,0.17,0.0,0.95,9.3,23.26,26.44,19.38,11.54,6.2,2.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,10.0,0.10800000000000001,273.46,31.52,44.29,37.91,0.0,0.0,0.09,0.09,2.24,12.4,24.03,25.84,18.09,8.61,6.12,1.98,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,11.0,0.11699999999999999,275.6,31.46,44.28,37.87,0.0,0.0,0.0,0.09,3.01,14.04,22.14,24.46,18.09,10.85,5.0,1.89,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,12.0,0.129,277.57,31.71,46.79,39.25,0.0,0.0,0.0,0.0,2.5,11.97,20.07,21.19,17.14,15.76,7.58,2.93,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,13.0,0.138,278.84,29.18,50.77,39.98,0.0,0.0,0.0,0.43,3.45,9.47,20.33,18.52,18.6,14.73,8.7,3.53,1.81,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,14.0,0.147,279.42,24.5,58.92,41.71,0.0,0.0,0.0,0.78,4.13,8.44,11.97,19.9,17.14,16.37,10.77,6.8,2.76,0.78,0.17,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,15.0,0.151,279.89,17.62,67.75,42.68,0.0,0.0,0.09,2.33,4.05,6.46,11.37,14.13,16.88,16.02,16.71,8.27,3.01,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,16.0,0.16399999999999998,281.07,13.68,72.6,43.14,0.0,0.09,0.09,2.58,4.48,5.6,10.34,14.21,13.95,14.04,21.27,9.73,3.36,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,17.0,0.187,282.77,12.8,72.57,42.69,0.09,0.09,0.6,2.76,5.08,6.29,10.08,12.66,15.85,13.35,19.81,10.08,3.01,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,18.0,0.217,284.86,14.22,68.78,41.5,0.0,0.09,0.69,1.81,6.37,9.13,10.68,15.93,16.71,12.23,12.66,7.58,5.08,0.95,0.09,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,19.0,0.265,287.5,20.49,56.2,38.35,0.0,0.34,1.12,3.27,7.92,11.02,15.42,18.43,15.68,10.77,6.98,4.48,3.36,1.03,0.17,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,20.0,0.304,289.54,24.35,46.8,35.57,0.17,0.26,2.67,4.82,8.44,13.01,17.83,20.59,13.87,9.04,5.17,2.24,1.55,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,21.0,0.33299999999999996,290.45,25.07,47.24,36.15,0.17,0.26,1.89,3.1,7.92,13.35,18.17,21.71,14.73,9.04,5.43,2.76,1.21,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,22.0,0.35,290.68,22.33,50.22,36.27,0.0,0.17,0.69,3.53,7.32,13.95,21.02,18.95,16.37,9.65,4.57,2.93,0.69,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,23.0,0.354,290.57,19.15,54.24,36.69,0.0,0.0,0.26,2.41,6.55,15.07,20.84,20.16,15.5,10.16,6.29,2.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,24.0,0.359,290.48,17.7,57.83,37.77,0.0,0.0,0.26,1.89,5.51,13.7,19.29,18.95,18.6,11.46,6.29,2.93,0.95,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,25.0,0.371,290.53,20.21,59.97,40.09,0.0,0.0,0.0,1.03,4.48,11.54,16.54,18.0,16.02,14.73,10.85,3.53,2.41,0.78,0.0,0.0,0.09,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,26.0,0.377,290.67,20.46,61.98,41.22,0.0,0.0,0.09,1.12,3.45,9.73,15.59,17.74,16.19,13.7,13.09,4.91,3.1,1.03,0.17,0.0,0.0,0.09,0.0,0.0,0.0,8,Iv-Frankivsk
1982,27.0,0.385,291.04,21.78,63.83,42.8,0.0,0.0,0.0,0.78,2.84,7.75,13.09,17.31,15.5,16.71,13.78,6.89,2.76,2.07,0.43,0.0,0.0,0.09,0.0,0.0,0.0,8,Iv-Frankivsk
1982,28.0,0.386,291.34,23.98,65.48,44.73,0.0,0.0,0.0,0.69,1.38,4.57,11.02,15.93,17.05,18.52,14.9,8.35,4.05,2.76,0.6,0.09,0.0,0.09,0.0,0.0,0.0,8,Iv-Frankivsk
1982,29.0,0.392,291.91,30.81,59.97,45.39,0.0,0.0,0.0,0.17,1.46,4.31,10.59,13.52,19.38,18.26,14.73,9.04,4.65,2.67,0.95,0.17,0.0,0.0,0.09,0.0,0.0,8,Iv-Frankivsk
1982,30.0,0.395,292.25,33.97,57.1,45.54,0.0,0.0,0.09,0.09,0.95,3.88,9.39,15.76,19.29,18.6,14.04,10.25,5.25,1.29,0.69,0.17,0.17,0.0,0.09,0.0,0.0,8,Iv-Frankivsk
1982,31.0,0.392,292.58,31.15,53.28,42.22,0.0,0.0,0.26,0.69,2.67,7.67,14.56,18.86,16.54,16.19,10.08,7.49,3.53,0.78,0.6,0.0,0.0,0.0,0.09,0.0,0.0,8,Iv-Frankivsk
1982,32.0,0.396,293.1,32.88,44.96,38.92,0.0,0.26,0.6,2.5,7.58,10.42,16.97,18.69,14.3,11.97,8.53,4.65,2.15,1.03,0.17,0.09,0.09,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,33.0,0.401,293.29,35.71,38.12,36.92,0.34,0.34,2.24,4.48,7.67,12.49,16.11,20.41,12.4,11.11,5.6,3.01,2.33,1.12,0.09,0.26,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,34.0,0.396,293.04,35.78,35.82,35.8,0.52,1.81,1.98,4.57,6.89,14.9,16.97,18.35,14.3,8.7,5.34,2.5,1.64,0.69,0.6,0.17,0.09,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,35.0,0.38799999999999996,292.86,38.49,29.19,33.84,1.12,1.29,3.19,5.68,10.34,15.68,17.66,17.48,12.49,6.03,4.31,2.33,1.29,0.69,0.34,0.09,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,36.0,0.37799999999999995,292.74,43.39,19.53,31.46,1.38,2.33,4.31,6.8,13.18,17.05,18.6,14.99,9.73,5.68,2.93,1.72,0.95,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,37.0,0.36,292.07,44.78,15.16,29.97,1.55,2.07,4.82,8.61,13.61,18.86,19.64,13.18,10.16,4.22,2.24,0.6,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,38.0,0.345,290.9,44.25,13.13,28.69,2.41,2.24,4.39,10.16,15.07,18.43,19.72,14.38,9.13,2.33,1.29,0.34,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,39.0,0.32299999999999995,289.37,40.33,13.92,27.13,2.07,3.79,6.37,11.89,16.54,17.83,18.78,13.44,6.63,1.98,0.43,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
1982,40.0,0.302,287.67,34.94,16.28,25.61,2.93,3.19,7.15,14.47,20.16,18.52,16.88,9.73,4.74,1.38,0.78,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Iv-Frankivsk
