year,week,SMN,SMT,VCI,TCI,VHI,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,region,region name
1981,35.0,0.24100000000000002,288.25,4.4,96.49,50.45,0.0,0.0,0.0,0.0,0.05,0.19,0.88,3.16,6.93,12.46,62.3,7.3,3.49,1.95,0.84,0.19,0.09,0.05,0.09,0.05,0.0,17,Sumi
1981,36.0,0.249,288.57,9.54,87.47,48.5,0.0,0.0,0.0,0.09,0.23,2.14,5.39,9.11,16.23,15.11,32.91,7.39,5.9,3.11,1.49,0.42,0.28,0.05,0.0,0.09,0.05,17,Sumi
1981,37.0,0.253,288.6,18.3,71.39,44.84,0.0,0.0,0.14,1.07,3.39,6.74,10.55,13.85,14.6,14.69,15.76,8.83,5.3,2.51,1.44,0.51,0.23,0.14,0.19,0.05,0.0,17,Sumi
1981,38.0,0.26,288.31,31.87,54.01,42.94,0.0,0.14,0.88,1.35,4.79,9.16,11.06,14.32,15.25,14.69,11.95,7.39,4.56,2.23,1.02,0.65,0.28,0.19,0.09,0.0,0.0,17,Sumi
1981,39.0,0.261,287.4,42.59,42.35,42.47,0.05,0.14,0.65,2.05,3.72,8.69,12.69,15.06,16.04,15.11,10.97,7.02,3.81,2.09,1.12,0.42,0.28,0.05,0.05,0.0,0.0,17,Sumi
1981,40.0,0.257,285.82,51.91,35.63,43.77,0.0,0.09,0.46,1.39,2.84,5.95,11.99,15.48,17.2,15.57,12.32,8.6,3.77,2.88,0.79,0.37,0.14,0.09,0.0,0.05,0.0,17,Sumi
1981,41.0,0.244,283.36,59.56,38.57,49.06,0.0,0.0,0.05,0.7,0.98,2.98,5.25,11.99,15.57,16.64,15.48,12.83,8.83,5.16,2.37,0.79,0.23,0.14,0.0,0.0,0.0,17,Sumi
1981,42.0,0.223,280.59,63.26,46.05,54.66,0.0,0.0,0.0,0.19,0.28,1.12,3.16,6.42,10.55,12.78,16.41,14.46,15.02,9.62,6.18,2.65,0.88,0.19,0.05,0.05,0.0,17,Sumi
1981,43.0,0.195,277.92,63.32,46.42,54.87,0.0,0.0,0.0,0.19,0.7,1.67,3.02,7.25,10.0,11.72,13.81,15.53,13.95,11.16,6.23,3.49,1.16,0.05,0.09,0.0,0.0,17,Sumi
1981,44.0,0.161,274.63,57.62,46.58,52.1,0.0,0.0,0.05,0.28,0.88,1.63,4.23,9.39,12.6,15.62,14.55,13.99,12.65,7.21,4.18,1.58,0.84,0.28,0.05,0.0,0.0,17,Sumi
1981,45.0,0.129,270.24,49.16,54.28,51.72,0.0,0.0,0.05,0.23,0.33,1.91,5.67,9.44,14.18,15.85,14.18,11.16,11.85,7.11,4.74,2.42,0.6,0.23,0.05,0.0,0.0,17,Sumi
1981,46.0,0.10400000000000001,266.4,42.95,58.15,50.55,0.0,0.0,0.0,0.28,0.93,3.07,8.55,10.88,13.95,13.62,12.51,10.27,9.39,7.81,5.49,2.0,0.93,0.28,0.05,0.0,0.0,17,Sumi
1981,47.0,0.084,263.14,37.88,60.18,49.03,0.0,0.0,0.19,0.42,1.72,5.95,9.21,12.97,11.95,12.27,12.18,9.34,7.58,7.76,5.02,1.95,1.07,0.42,0.0,0.0,0.0,17,Sumi
1981,48.0,0.071,260.41,37.32,63.35,50.34,0.0,0.0,0.14,0.46,1.81,5.58,8.41,11.25,12.37,10.74,10.97,10.55,8.74,8.28,5.86,3.07,1.26,0.51,0.0,0.0,0.0,17,Sumi
1981,49.0,0.061,257.6,35.27,67.86,51.57,0.0,0.05,0.09,0.56,2.0,4.65,7.02,10.37,11.02,9.86,10.79,11.39,11.67,9.25,7.21,2.74,1.16,0.14,0.05,0.0,0.0,17,Sumi
1981,50.0,0.055999999999999994,254.97,36.21,69.14,52.67,0.0,0.0,0.19,0.7,2.79,4.88,7.58,8.23,9.76,10.69,9.67,8.93,10.51,8.88,9.02,5.35,2.19,0.6,0.05,0.0,0.0,17,Sumi
1981,51.0,0.053,253.33,37.66,71.55,54.61,0.0,0.05,0.23,0.46,2.19,4.09,5.35,8.55,8.32,10.09,10.55,10.09,10.88,10.18,8.79,5.53,2.93,1.3,0.33,0.05,0.05,17,Sumi
1981,52.0,0.048,252.91,35.51,70.85,53.18,0.0,0.14,0.19,1.07,2.05,3.11,5.44,8.14,10.0,11.95,11.48,11.06,10.93,10.46,6.93,4.32,1.72,0.88,0.05,0.09,0.0,17,Sumi
1982,1.0,0.046,253.41,36.09,67.67,51.88,0.0,0.19,0.74,1.44,2.28,3.58,4.97,7.9,10.37,12.6,12.41,12.04,11.39,9.21,6.0,2.88,1.35,0.6,0.05,0.0,0.0,17,Sumi
1982,2.0,0.045,254.47,38.14,63.53,50.83,0.0,0.05,0.74,1.26,1.81,3.58,6.04,7.53,13.16,12.55,13.85,12.83,9.95,8.32,4.79,2.42,0.84,0.28,0.0,0.0,0.0,17,Sumi
1982,3.0,0.043,255.75,39.0,59.29,49.14,0.0,0.09,0.23,1.3,2.05,3.81,7.11,8.37,13.2,16.46,13.85,13.58,8.51,6.09,3.53,1.26,0.42,0.14,0.0,0.0,0.0,17,Sumi
1982,4.0,0.043,257.91,43.21,51.11,47.16,0.0,0.0,0.09,0.98,2.19,3.58,8.09,11.2,14.04,18.08,17.81,12.23,6.32,3.21,1.35,0.56,0.19,0.05,0.05,0.0,0.0,17,Sumi
1982,5.0,0.042,259.03,41.37,48.49,44.93,0.0,0.0,0.05,0.28,1.02,4.32,8.83,15.43,21.11,21.29,14.78,7.07,3.21,1.72,0.42,0.37,0.09,0.0,0.0,0.0,0.0,17,Sumi
1982,6.0,0.038,259.83,32.65,49.6,41.12,0.0,0.0,0.0,0.19,1.21,5.72,15.16,24.5,25.01,14.41,7.86,3.49,1.81,0.56,0.05,0.05,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,7.0,0.038,261.61,26.26,49.24,37.75,0.0,0.0,0.0,0.05,1.44,10.93,25.8,29.85,17.43,7.81,4.14,1.72,0.7,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,8.0,0.040999999999999995,263.97,22.8,47.85,35.33,0.0,0.0,0.0,0.0,2.42,17.11,33.66,25.57,13.76,4.56,2.19,0.56,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,9.0,0.045,266.49,21.59,46.71,34.15,0.0,0.0,0.0,0.05,3.49,21.9,34.82,24.83,9.76,3.3,1.67,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,10.0,0.052000000000000005,269.43,22.57,45.35,33.96,0.0,0.0,0.0,0.14,3.49,21.8,34.5,26.13,9.76,3.16,0.93,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,11.0,0.064,272.64,25.8,41.76,33.78,0.0,0.0,0.0,0.28,4.93,20.41,34.73,25.66,10.93,2.09,0.88,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,12.0,0.081,275.4,30.21,42.88,36.55,0.0,0.0,0.0,0.05,1.86,13.11,25.76,31.85,18.74,6.37,1.86,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,13.0,0.09300000000000001,277.63,30.38,46.01,38.2,0.0,0.0,0.0,0.0,1.26,9.11,19.85,33.33,22.45,9.67,3.21,1.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,14.0,0.102,279.55,27.29,50.27,38.78,0.0,0.0,0.0,0.05,2.0,8.69,18.46,28.68,24.59,11.39,4.0,1.91,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,15.0,0.114,280.96,22.35,58.99,40.67,0.0,0.0,0.0,0.09,1.63,5.63,16.18,24.22,24.17,16.78,7.21,3.21,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,16.0,0.135,282.59,19.35,66.84,43.09,0.0,0.0,0.0,0.09,1.02,4.83,10.97,19.85,21.29,20.04,13.85,5.63,2.09,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,17.0,0.163,284.55,17.57,75.37,46.47,0.0,0.0,0.0,0.05,0.42,3.39,7.16,14.83,17.43,18.32,20.13,11.39,5.49,1.07,0.28,0.05,0.0,0.0,0.0,0.0,0.0,17,Sumi
1982,18.0,0.207,286.79,21.7,78.31,50.0,0.0,0.0,0.0,0.0,0.09,1.77,4.37,10.13,14.04,17.06,22.08,14.5,9.9,4.37,1.26,0.37,0.05,0.0,0.0,0.0,0.0,17,Sumi
1982,19.0,0.258,288.95,25.56,75.84,50.7,0.0,0.0,0.0,0.05,0.19,2.0,5.21,9.81,13.2,16.41,17.95,14.18,10.88,7.16,2.19,0.65,0.09,0.05,0.0,0.0,0.0,17,Sumi
1982,20.0,0.307,290.86,27.69,72.49,50.09,0.0,0.0,0.0,0.05,0.42,1.91,6.18,10.46,15.62,14.46,18.74,13.06,9.21,6.18,2.42,0.93,0.33,0.05,0.0,0.0,0.0,17,Sumi
1982,21.0,0.34600000000000003,291.8,29.07,74.74,51.91,0.0,0.0,0.0,0.05,0.33,2.0,4.37,8.74,13.76,14.27,17.43,14.32,11.67,6.56,3.91,1.95,0.42,0.19,0.05,0.0,0.0,17,Sumi
1982,22.0,0.375,292.19,28.91,76.84,52.87,0.0,0.0,0.0,0.09,0.51,1.49,4.46,7.72,12.41,14.23,16.27,14.18,12.55,8.41,3.91,2.37,1.02,0.23,0.14,0.0,0.0,17,Sumi
1982,23.0,0.392,292.34,26.05,81.15,53.6,0.0,0.0,0.0,0.05,0.23,1.21,4.0,7.81,10.83,14.78,16.13,14.88,12.83,8.55,4.97,1.86,1.26,0.46,0.09,0.05,0.0,17,Sumi
1982,24.0,0.39399999999999996,292.01,17.29,89.77,53.53,0.0,0.0,0.0,0.0,0.14,0.19,1.72,5.49,10.13,16.13,27.1,13.25,11.85,8.14,3.53,1.53,0.6,0.14,0.05,0.0,0.0,17,Sumi
1982,25.0,0.391,291.81,12.2,95.17,53.69,0.0,0.0,0.0,0.0,0.0,0.05,0.33,2.09,6.46,13.06,44.26,12.32,11.25,5.53,3.25,0.98,0.33,0.09,0.0,0.0,0.0,17,Sumi
1982,26.0,0.387,291.64,11.37,96.75,54.06,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.98,3.81,11.16,51.32,11.99,9.67,6.04,2.93,1.3,0.51,0.14,0.0,0.0,0.0,17,Sumi
1982,27.0,0.381,291.66,11.33,96.48,53.91,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.93,4.88,10.18,50.95,12.88,9.81,5.58,2.56,1.35,0.56,0.05,0.0,0.0,0.0,17,Sumi
1982,28.0,0.384,292.12,16.33,94.76,55.55,0.0,0.0,0.0,0.0,0.0,0.05,0.23,1.35,4.97,11.58,38.03,16.27,12.41,8.14,3.86,2.09,0.84,0.19,0.0,0.0,0.0,17,Sumi
1982,29.0,0.389,292.57,25.94,93.66,59.8,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.56,2.32,7.48,25.15,16.74,19.34,13.02,8.83,3.72,2.19,0.42,0.09,0.05,0.0,17,Sumi
1982,30.0,0.395,292.84,37.49,92.82,65.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.93,2.93,11.39,14.32,19.34,21.01,14.69,9.25,3.63,1.81,0.46,0.09,0.0,17,Sumi
1982,31.0,0.39899999999999997,293.09,45.94,89.89,67.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.65,2.19,6.51,10.09,17.81,21.29,18.87,12.23,6.23,2.28,1.44,0.23,0.0,17,Sumi
1982,32.0,0.39399999999999996,293.25,48.63,86.86,67.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.02,2.56,6.14,10.97,17.43,20.83,18.6,11.48,6.56,2.65,1.21,0.19,0.05,17,Sumi
1982,33.0,0.39,293.28,52.37,81.57,66.97,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.37,1.58,3.35,6.37,12.69,17.39,20.6,16.64,10.32,6.46,2.79,1.12,0.19,0.05,17,Sumi
1982,34.0,0.382,292.45,55.28,80.32,67.8,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.6,1.63,3.44,6.18,10.37,16.55,17.67,17.76,12.88,7.3,3.95,1.26,0.23,0.05,17,Sumi
